Date,Time,Temp,Alarm,Minutes,relativeToExperiment
29.08.2019,16:12:11,23.625,0,972.18,-3.40
29.08.2019,16:22:11,23.625,0,982.18,6.60
29.08.2019,16:32:11,23.063,0,992.18,16.60
29.08.2019,16:42:11,23.625,0,1002.18,26.60
29.08.2019,16:52:11,23.438,0,1012.18,36.60
29.08.2019,17:02:11,23,0,1022.18,46.60
29.08.2019,17:12:11,22.688,0,1032.18,56.60
29.08.2019,17:22:11,23.5,0,1042.18,66.60
29.08.2019,17:32:11,22.75,0,1052.18,76.60
29.08.2019,17:42:11,23.375,0,1062.18,86.60
29.08.2019,17:52:11,23.688,0,1072.18,96.60
29.08.2019,18:02:11,23.125,0,1082.18,106.60
29.08.2019,18:12:11,23.5,0,1092.18,116.60
29.08.2019,18:22:11,23.313,0,1102.18,126.60
29.08.2019,18:32:12,23.813,0,1112.20,136.62
29.08.2019,18:42:12,22.938,0,1122.20,146.62
29.08.2019,18:52:12,23.313,0,1132.20,156.62
29.08.2019,19:02:12,23,0,1142.20,166.62
29.08.2019,19:12:12,23.313,0,1152.20,176.62
29.08.2019,19:22:12,22.938,0,1162.20,186.62
29.08.2019,19:32:12,23.313,0,1172.20,196.62
29.08.2019,19:42:12,22.75,0,1182.20,206.62
29.08.2019,19:52:12,23.313,0,1192.20,216.62
29.08.2019,20:02:12,22.688,0,1202.20,226.62
29.08.2019,20:12:12,23.125,0,1212.20,236.62
29.08.2019,20:22:12,23.438,0,1222.20,246.62
29.08.2019,20:32:12,22.875,0,1232.20,256.62
29.08.2019,20:42:12,23.063,0,1242.20,266.62
29.08.2019,20:52:12,23.313,0,1252.20,276.62
29.08.2019,21:02:12,23.313,0,1262.20,286.62
29.08.2019,21:12:12,23.5,0,1272.20,296.62
29.08.2019,21:22:13,23.313,0,1282.22,306.64
29.08.2019,21:32:13,23.5,0,1292.22,316.64